BHGE,"Baker Hughes, a GE Company",reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/2/2017,6/30/1976,2017,,
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,3/31/1995,,,
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,9/30/1972,,,
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,12/4/1997,,,
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,9/30/1972,1931,,
BBT,BB&T Corporation,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/1997,2/16/2010,,,
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,6/29/1999,1897,,
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,11/13/2003,,,
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,4/4/2011,,,
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",11/13/2003,11/30/1986,,,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1/13/1978,,,
HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",11/30/1986,11/6/2009,,,
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",3/2/2017,12/19/2011,1916,,
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,4/3/2006,,,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,2/24/1995,,,
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,8/8/2017,,,
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",2/24/1995,8/7/2017,,,
BHF,Brighthouse Financial Inc,reports,Financials,Life & Health Insurance,"Charlotte, North Carolina",8/8/2017,5/8/2014,,,
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",3/2/2017,6/18/2018,1989,,
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,10/31/1982,,,
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,3/2/2007,1962,,
BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,7/31/1987,,,
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,6/23/2008,,,
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",7/31/1987,9/18/2017,,,
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,1/13/1978,,,
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/2017,7/1/1998,,,
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/2/2017,5/27/1997,1869,,
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,6/28/2010,1935,,
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,12/22/1998,,,
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,8/17/1925,,,
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,3/1/2017,,,
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",3/2/2017,11/10/2006,1925,,
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,9/1/1994,,,
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,11/6/2006,,,
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting,"New York, New York",9/1/1994,3/30/2016,,,
CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",11/6/2006,7/31/1985,,,
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,3/25/1999,,,
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,4/30/2010,,,
CTL,CenturyLink Inc,reports,Telecommunication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/1999,8/27/2008,,,
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,6/2/1997,,,
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,9/8/2016,,,
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,10/19/2001,,,
CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",9/8/2016,4/28/2011,,,
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",3/2/2017,7/15/2010,1879,,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/2011,12/29/2015,,,
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,6/30/1976,,,
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,6/21/2014,,,
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,12/18/1997,,,
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,3/1/2001,,,
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,12/1/1993,,,
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,5/31/1988,,,
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1/29/2016,,,
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",5/31/1988,12/1/1999,,,
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,3/31/1969,,,
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",12/1/1999,8/11/2006,,,
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",3/31/1969,5/3/1999,1913,,
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,6/19/1998,,,
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,11/17/2006,,,
KO,Coca-Cola Company (The),reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/2/2017,6/29/1972,1886,,
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,9/18/2015,,,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",3/2/2017,12/1/1995,1806,,
CMCSA,Comcast Corp.,reports,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,8/31/1983,,,
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,2/22/2016,,,
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,8/31/1983,,,
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,7/18/1986,,,
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/2/2017,7/5/2005,2002,,
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",3/2/2017,9/23/2016,1823,,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/2005,7/2/2018,,,
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"Pleasanton, California",9/23/2016,8/18/1998,,,
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,10/1/1993,,,
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",3/2/2017,10/3/2016,1851,,
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,3/14/2012,,,
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",10/3/2016,9/30/1967,,,
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,3/31/1965,,,
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,1/5/1979,1980,,
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,5/19/1995,1919,,
CVS,CVS Health,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",3/2/2017,11/10/1995,1996,,
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",3/2/2017,1/13/1978,1978,,
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",3/2/2017,7/31/2008,1969,,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",3/2/2017,8/21/1987,1938,,
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,9/11/2013,,,
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/2/2017,11/14/2008,1837,,
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,8/30/2000,,,
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,5/18/2016,,,
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,7/2/2007,,,
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,3/1/2010,,,
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,8/7/2014,,,
